ID,Blaine,22328,288,93
ID,Boise,7445,53,41
ID,Bonner,41403,447,369
ID,Bonneville,101329,2063,703
ID,Boundary,10951,146,101
ID,Butte,2764,39,13
ID,Camas,1109,18,2
ID,Canyon,186615,3531,1215
ID,Caribou,6914,110,57
ID,Cassia,21698,430,172
ID,Clark,952,24,1
ID,Clearwater,8043,74,92
ID,Custer,4240,43,37
ID,Elmore,28820,500,155
ID,Franklin,12676,240,92
ID,Fremont,12691,240,99
ID,Gem,16437,221,189
ID,Gooding,14430,251,125
ID,Idaho,15461,175,179
ID,Jefferson,24802,572,134
ID,Jerome,21262,423,140
ID,Kootenai,139390,1819,1102
ID,Latah,38046,436,219
ID,Lemhi,7908,90,105
ID,Lewis,3735,50,46
ID,Lincoln,4645,89,20
ID,Madison,38440,987,130
ID,Minidoka,19226,339,173
ID,Nez Perce,39211,473,431
ID,Oneida,4221,72,35
ID,Owyhee,11223,180,88
ID,Payette,23099,348,194
ID,Power,7734,145,56
ID,Shoshone,12660,127,148
ID,Teton,9337,199,19
ID,Twin Falls,75296,1258,668
ID,Valley,8726,127,61
ID,Washington,10119,131,123
IL,Adams,67054,866,826
IL,Alexander,7914,112,102
IL,Bond,18103,222,181
IL,Boone,54020,828,346
IL,Brown,6591,66,46
IL,Bureau,34699,446,385
IL,Calhoun,5019,58,59
IL,Carroll,15749,178,200
IL,Cass,13559,197,140
IL,Champaign,195671,2500,1224
IL,Christian,34253,399,403
IL,Clark,16657,196,219
IL,Clay,13538,175,169
IL,Clinton,36368,471,342
IL,Coles,52065,597,497
IL,Cook,5287037,77729,40898
IL,Crawford,19433,193,231
IL,Cumberland,10716,136,127
IL,DeKalb,107333,1422,633
IL,De Witt,16034,198,202
IL,Douglas,19169,299,194
IL,DuPage,932541,11674,5742
IL,Edgar,18471,219,249
IL,Edwards,6444,74,77
IL,Effingham,34424,487,349
IL,Fayette,20935,252,226
IL,Ford,13911,183,203
IL,Franklin,39312,496,550
IL,Fulton,36652,411,446
IL,Gallatin,5705,63,82
IL,Greene,13567,168,159
IL,Grundy,48421,803,360
IL,Hamilton,8096,88,98
IL,Hancock,18359,205,215
IL,Hardin,4358,41,61
IL,Henderson,7354,62,85
IL,Henry,49314,581,514
IL,Iroquois,29690,375,381
IL,Jackson,58103,707,432
IL,Jasper,9530,123,100
IL,Jefferson,39944,479,399
IL,Jersey,22549,271,235
IL,Jo Daviess,21990,230,235
IL,Johnson,13730,129,120
IL,Kane,511892,8820,2812
IL,Kankakee,113215,1706,1084
IL,Kendall,104821,2162,427
IL,Knox,51648,584,658
IL,Lake,712567,10065,4117
IL,LaSalle,112498,1483,1239
IL,Lawrence,16408,158,223
IL,Lee,34919,399,354
IL,Livingston,37777,522,431
IL,Logan,29776,347,314
IL,McDonough,32770,306,276
IL,McHenry,320961,4508,2061
IL,McLean,167699,2305,1083
IL,Macon,108204,1398,1179
IL,Macoupin,47774,589,565
IL,Madison,268457,3569,2621
IL,Marion,39008,485,491
IL,Marshall,12702,151,179
IL,Mason,14785,180,191
IL,Massac,14970,200,198
IL,Menard,12466,143,140
IL,Mercer,16276,182,180
IL,Monroe,33236,421,281
IL,Montgomery,29500,324,349
IL,Morgan,34897,412,399
IL,Moultrie,14392,193,193
IL,Ogle,55336,664,504
IL,Peoria,185816,2705,1710
IL,Perry,22424,261,250
IL,Piatt,16550,210,160
IL,Pike,16273,187,204
IL,Pope,3991,41,41
IL,Pulaski,6218,82,77
IL,Putnam,6009,60,55
IL,Randolph,32686,387,363
IL,Richland,15523,191,228
IL,Rock Island,146826,1985,1454
IL,St. Clair,263617,3884,2487
IL,Saline,25738,324,382
IL,Sangamon,195716,2619,1833
IL,Schuyler,6730,80,96
IL,Scott,5193,59,57
IL,Shelby,21803,274,240
IL,Stark,6019,78,82
IL,Stephenson,46537,563,531
IL,Tazewell,132466,1752,1341
IL,Union,18005,241,229
IL,Vermilion,80067,1058,941
IL,Wabash,11997,154,147
IL,Warren,17409,215,194
IL,Washington,14560,190,161
IL,Wayne,16294,192,204
IL,White,14661,182,217
IL,Whiteside,58961,759,650
IL,Will,685251,10772,3698
IL,Williamson,65169,824,735
IL,Winnebago,299702,4228,2582
IL,Woodford,38862,541,341
IN,Adams,34256,657,319
IN,Allen,353888,5324,2704
IN,Bartholomew,76063,1085,684
IN,Benton,8613,119,83
IN,Blackford,13051,133,161
IN,Boone,56287,777,448
IN,Brown,14548,102,137
IN,Carroll,19752,220,165
IN,Cass,39065,547,387
IN,Clark,108634,1451,1055
IN,Clay,26533,333,295
IN,Clinton,34367,517,337
IN,Crawford,10540,109,115
IN,Daviess,30620,516,291
IN,Dearborn,50502,673,421
IN,Decatur,25079,366,241
IN,DeKalb,42060,568,360
IN,Delaware,115192,1301,1157
IN,Dubois,41419,578,366
IN,Elkhart,200502,3381,1438
IN,Fayette,24101,307,293
IN,Floyd,74426,934,664
IN,Fountain,16852,211,195
IN,Franklin,23148,314,210
IN,Fulton,20265,256,219
